numeric,都道府県名,総数,全人口_年齢性別判明分,0歳から4歳,5歳から9歳,10歳から14歳,15歳から19歳,20歳から24歳,25歳から29歳,30歳から34歳,35歳から39歳,40歳から44歳,45歳から49歳,50歳から54歳,55歳から59歳,60歳から64歳,65歳から69歳,70歳から74歳,75歳から79歳,80歳から84歳,85歳から89歳,90歳から94歳,95歳から99歳,100歳以上,全人口_VD_vac,12歳未満_VD_vac,12歳以上_VD_vac,12歳から64歳_VD_vac,64歳以下_VD_vac,65歳以上_VD_vac,12歳から19歳_VD_vac,20代_VD_vac,30代_VD_vac,40代_VD_vac,50代_VD_vac,60歳から64歳_VD_vac,65歳から69歳_VD_vac,70代_VD_vac,80代_VD_vac,90代_VD_vac,100歳以上_VD_vac,全人口_VD_jp,10歳未満_VD_jp,10代_VD_jp,20代_VD_jp,30代_VD_jp,40代_VD_jp,50代_VD_jp,60代_VD_jp,70代_VD_jp,80代_VD_jp,90代_VD_jp,100歳以上_VD_jp,80歳以上_VD_jp
16.0,富山県,1047713,1047674,34812,39435,43782,47918,49441,46561,48843,55805,66847,82827,69286,63643,62072,71089,90539,64403,48266,36512,18855,5865,873,1047674,91760,955914,619512,711272,336402,74187,96002,104648,149674,132929,62072,71089,154942,84778,24720,873,1047674,74247,91700,96002,104648,149674,132929,133161,154942,84778,24720,873,110371
17.0,石川県,1132656,1132656,41694,47264,50377,54689,58858,52990,55807,62477,73832,89283,74450,68699,66885,73258,92524,64254,46405,34449,18028,5518,915,1132656,109106,1023550,688199,797305,335351,84918,111848,118284,163115,143149,66885,73258,156778,80854,23546,915,1132656,88958,105066,111848,118284,163115,143149,140143,156778,80854,23546,915,105315
18.0,福井県,774596,774583,28663,32507,35784,37224,37369,36012,38816,42807,48880,56218,48691,48889,48680,53269,60102,42521,33227,26256,13840,4206,622,774583,75484,699099,465056,540540,234043,58694,73381,81623,105098,97580,48680,53269,102623,59483,18046,622,774583,61170,73008,73381,81623,105098,97580,101949,102623,59483,18046,622,78151
19.0,山梨県,821094,820997,28051,31753,34813,39253,40409,37064,38749,43838,50090,60038,57418,55206,52919,57582,62897,46588,36957,26886,14820,4877,789,820997,73732,747265,495869,569601,251396,60138,77473,82587,110128,112624,52919,57582,109485,63843,19697,789,820997,59804,74066,77473,82587,110128,112624,110501,109485,63843,19697,789,84329
20.0,長野県,2072219,2071737,71755,84116,92413,98183,93329,89019,95854,109449,132239,154924,138469,130293,127187,138853,161035,123525,98117,74441,43211,13286,2039,2071737,192829,1878908,1224401,1417230,654507,153638,182348,205303,287163,268762,127187,138853,284560,172558,56497,2039,2071737,155871,190596,182348,205303,287163,268762,266040,284560,172558,56497,2039,231094
21.0,岐阜県,2016868,2016791,70502,84517,92172,97816,101672,91582,97755,110822,128059,153734,134675,127862,121086,133927,159246,117076,91272,62331,30701,8676,1308,2016791,191889,1824902,1220365,1412254,604537,153118,193254,208577,281793,262537,121086,133927,276322,153603,39377,1308,2016791,155019,189988,193254,208577,281793,262537,255013,276322,153603,39377,1308,194288
22.0,静岡県,3686335,3686260,128162,151757,164347,170622,172974,171051,186044,212091,238179,282531,252543,234298,224934,248527,283927,214102,164794,112254,54497,16178,2448,3686260,345656,3340604,2243877,2589533,1096727,269232,344025,398135,520710,486841,224934,248527,498029,277048,70675,2448,3686260,279919,334969,344025,398135,520710,486841,473461,498029,277048,70675,2448,350171
23.0,愛知県,7558872,7558802,305893,338535,352228,360306,419346,427251,439285,476431,522088,621589,540887,469939,397838,414928,508483,390331,289320,180461,78871,21602,3190,7558802,785323,6773479,4886293,5671616,1887186,571639,846597,915716,1143677,1010826,397838,414928,898814,469781,100473,3190,7558802,644428,712534,846597,915716,1143677,1010826,812766,898814,469781,100473,3190,573444
24.0,三重県,1800756,1800557,62969,74074,80617,84890,89788,85526,91038,100634,114426,138772,121633,116063,107897,116809,137994,102946,80832,56728,27879,7887,1155,1800557,169293,1631264,1099034,1268327,532230,133257,175314,191672,253198,237696,107897,116809,240940,137560,35766,1155,1800557,137043,165507,175314,191672,253198,237696,224706,240940,137560,35766,1155,174481
25.0,滋賀県,1418886,1418843,58034,67248,70264,71947,74868,70303,77287,86653,98045,112199,94630,86703,80340,86484,99592,70755,52339,36472,18492,5338,850,1418843,153389,1265454,895132,1048521,370322,114104,145171,163940,210244,181333,80340,86484,170347,88811,23830,850,1418843,125282,142211,145171,163940,210244,181333,166824,170347,88811,23830,850,113491
26.0,京都府,2530609,2530542,89818,101472,108694,116921,138039,124335,127759,142999,166434,201550,175936,157355,139463,152754,201200,148765,111281,76483,36430,10969,1885,2530542,234765,2295777,1556010,1790775,739767,182140,262374,270758,367984,333291,139463,152754,349965,187764,47399,1885,2530542,191290,225615,262374,270758,367984,333291,292217,349965,187764,47399,1885,237048
27.0,大阪府,8839532,8839511,326249,354672,375333,402530,488222,491248,490505,523879,588713,733372,658542,561107,459527,499397,640030,506178,379511,233071,97008,26251,4166,8839511,831053,8008458,5622846,6453899,2385612,627731,979470,1014384,1322085,1219649,459527,499397,1146208,612582,123259,4166,8839511,680921,777863,979470,1014384,1322085,1219649,958924,1146208,612582,123259,4166,740007
28.0,兵庫県,5523627,5523625,203469,233196,247674,258721,279099,260234,278920,315934,359566,441471,393033,355651,320225,346873,417847,313748,235102,161896,75797,21861,3308,5523625,535733,4987892,3411460,3947193,1576432,407327,539333,594854,801037,748684,320225,346873,731595,396998,97658,3308,5523625,436665,506395,539333,594854,801037,748684,667098,731595,396998,97658,3308,497964
29.0,奈良県,1344952,1344739,45029,53696,58695,64252,65698,57325,62405,71142,82573,102459,92988,87004,81326,91818,111981,84950,63400,41301,19940,5840,917,1344739,122199,1222540,802393,924592,420147,99473,123023,133547,185032,179992,81326,91818,196931,104701,25780,917,1344739,98725,122947,123023,133547,185032,179992,173144,196931,104701,25780,917,131398
30.0,和歌山県,944750,944432,31078,36680,39326,42366,42444,39572,43661,48913,55460,69068,62449,62754,60876,66761,79171,59348,46663,34495,17488,5073,786,944432,83483,860949,551164,634647,309785,65967,82016,92574,124528,125203,60876,66761,138519,81158,22561,786,944432,67758,81692,82016,92574,124528,125203,127637,138519,81158,22561,786,104505
31.0,鳥取県,556959,556788,20849,23801,24617,25885,24243,23110,26547,31687,35322,38883,32556,33990,37030,41750,44253,30149,25448,20611,11689,3757,611,556788,54498,502290,324022,378520,178268,40654,47353,58234,74205,66546,37030,41750,74402,46059,15446,611,556788,44650,50502,47353,58234,74205,66546,78780,74402,46059,15446,611,62116
32.0,島根県,672979,672815,24696,28449,29625,30762,28030,27443,30687,35627,40786,45168,38492,39682,43833,49628,57222,38585,33298,28917,15771,5248,866,672815,64994,607821,378286,443280,229535,48538,55473,66314,85954,78174,43833,49628,95807,62215,21019,866,672815,53145,60387,55473,66314,85954,78174,93461,95807,62215,21019,866,84100
33.0,岡山県,1893874,1893791,72264,81159,85564,89800,97181,91813,96771,107576,119694,143458,118803,109990,111219,120778,147426,109687,82923,63200,33004,9863,1618,1893791,187651,1706140,1137641,1325292,568499,141136,188994,204347,263152,228793,111219,120778,257113,146123,42867,1618,1893791,153423,175364,188994,204347,263152,228793,231997,257113,146123,42867,1618,190608
34.0,広島県,2812477,2812433,106573,123058,128271,130740,140808,137266,145698,161275,182608,220065,185573,166771,161830,178916,217400,161270,118562,85266,44066,14055,2362,2812433,280939,2531494,1709597,1990536,821897,207703,278074,306973,402673,352344,161830,178916,378670,203828,58121,2362,2812433,229631,259011,278074,306973,402673,352344,340746,378670,203828,58121,2362,264311
35.0,山口県,1356144,1356110,45341,53484,57859,60743,59583,55206,59994,70910,81329,97954,83680,79264,84983,99965,121178,87270,69297,52177,26205,8307,1381,1356110,121972,1234138,768358,890330,465780,95455,114789,130904,179283,162944,84983,99965,208448,121474,34512,1381,1356110,98825,118602,114789,130904,179283,162944,184948,208448,121474,34512,1381,157367
36.0,徳島県,735070,734949,24493,28399,30062,32115,31857,29900,34359,40704,45598,52559,45571,45785,48740,56757,63608,42173,35103,27752,14579,4244,591,734949,64917,670032,425225,490142,244807,50152,61757,75063,98157,91356,48740,56757,105781,62855,18823,591,734949,52892,62177,61757,75063,98157,91356,105497,105781,62855,18823,591,82269
37.0,香川県,973922,973896,34873,40643,43059,45474,46074,43080,47841,54519,63886,74257,61065,57051,59215,66209,81631,54525,43023,33594,17730,5238,909,973896,92737,881159,578300,671037,302859,71312,89154,102360,138143,118116,59215,66209,136156,76617,22968,909,973896,75516,88533,89154,102360,138143,118116,125424,136156,76617,22968,909,100494
38.0,愛媛県,1356343,1356219,45548,54397,58778,60956,58747,56509,63252,73539,84502,99091,84612,85066,87756,98978,114497,79441,65136,49358,26655,8121,1280,1356219,123458,1232761,789295,912753,443466,96221,115256,136791,183593,169678,87756,98978,193938,114494,34776,1280,1356219,99945,119734,115256,136791,183593,169678,186734,193938,114494,34776,1280,150550
39.0,高知県,701531,701167,22450,25964,28198,30749,28539,26821,29686,36643,42869,50754,42476,43980,45707,52283,63055,44366,35365,28981,16206,5235,840,701167,59690,641477,395146,454836,246331,47671,55360,66329,93623,86456,45707,52283,107421,64346,21441,840,701167,48414,58947,55360,66329,93623,86456,97990,107421,64346,21441,840,86627
40.0,福岡県,5124259,5124170,210675,233901,237797,236281,268689,263806,278530,320178,349890,383491,327486,300844,300135,338062,374139,256601,203638,144118,70558,21859,3492,5124170,539700,4584470,3172003,3711703,1412467,378954,532495,598708,733381,628330,300135,338062,630740,347756,92417,3492,5124170,444576,474078,532495,598708,733381,628330,638197,630740,347756,92417,3492,443665
41.0,佐賀県,818251,818222,32804,37692,39804,40138,38601,35883,39766,46904,51584,54255,48946,50084,54167,61558,61720,41504,35563,27568,14381,4595,705,818222,86418,731804,484210,570628,247594,64020,74484,86670,105839,99030,54167,61558,103224,63131,18976,705,818222,70496,79942,74484,86670,105839,99030,115725,103224,63131,18976,705,82812
42.0,長崎県,1336023,1335938,50083,57254,59953,61264,55027,53085,61254,71035,78482,89310,82524,85827,93323,106402,109096,73226,64746,49348,25290,8129,1280,1335938,131321,1204617,767100,898421,437517,97233,108112,132289,167792,168351,93323,106402,182322,114094,33419,1280,1335938,107337,121217,108112,132289,167792,168351,199725,182322,114094,33419,1280,148793
43.0,熊本県,1758815,1758645,70453,80043,82496,81086,78217,76682,85983,100441,108886,115674,104029,108876,117103,130574,133712,91983,81536,64062,34083,10939,1787,1758645,183493,1575152,1026476,1209969,548676,130585,154899,186424,224560,212905,117103,130574,225695,145598,45022,1787,1758645,150496,163582,154899,186424,224560,212905,247677,225695,145598,45022,1787,192407
44.0,大分県,1141784,1141741,40983,47365,50622,51249,51270,48096,53555,62567,71822,78693,68153,67895,74227,85431,94946,66562,55097,42777,22614,6801,1016,1141741,108597,1033144,657900,766497,375244,81622,99366,116122,150515,136048,74227,85431,161508,97874,29415,1016,1141741,88348,101871,99366,116122,150515,136048,159658,161508,97874,29415,1016,128305
45.0,宮崎県,1087372,1087241,42167,49123,51802,50522,44733,43534,49980,60174,67654,72499,63025,66581,74823,84170,88014,58543,51401,40247,20825,6358,1066,1087241,112010,975231,624607,736617,350624,81604,88267,110154,140153,129606,74823,84170,146557,91648,27183,1066,1087241,91290,102324,88267,110154,140153,129606,158993,146557,91648,27183,1066,119897
46.0,鹿児島県,1617850,1617517,63756,74054,76574,74200,64143,65320,76140,91952,98458,102543,94353,101639,115879,128892,122973,83714,76271,61238,32923,10772,1723,1617517,168440,1449077,930571,1099011,518506,120144,129463,168092,201001,195992,115879,128892,206687,137509,43695,1723,1617517,137810,150774,129463,168092,201001,195992,244771,206687,137509,43695,1723,182927
47.0,沖縄県,1485484,1485118,78778,85509,84897,81256,77134,78465,86277,96243,100390,108997,94765,89179,91255,96207,80111,50196,48321,33849,16704,5365,1220,1485118,198243,1286875,954902,1153145,331973,132197,155599,182520,209387,183944,91255,96207,130307,82170,22069,1220,1485118,164287,166153,155599,182520,209387,183944,187462,130307,82170,22069,1220,105459
0.0,全国,126654244,126645025,4621243,5211654,5486075,5718629,6376817,6442752,6775050,7597655,8503905,9920558,8801840,8008744,7412109,8098283,9337065,6890167,5356363,3702117,1782079,521284,80636,126645025,12027309,114617716,78849722,90877031,35767994,9010292,12819569,14372705,18424463,16810584,7412109,8098283,16227232,9058480,2303363,80636,126645025,9832897,11204704,12819569,14372705,18424463,16810584,15510392,16227232,9058480,2303363,80636,11442479
