code_pref,code_MIC,prefecture_j,prefecture_s,prefecture_en,総数,0歳から4歳,0歳から4歳,5歳から9歳,5歳から9歳,10歳から14歳,10歳から14歳,15歳から19歳,15歳から19歳,20歳から24歳,20歳から24歳,25歳から29歳,25歳から29歳,30歳から34歳,30歳から34歳,35歳から39歳,35歳から39歳,40歳から44歳,40歳から44歳,45歳から49歳,45歳から49歳,50歳から54歳,50歳から54歳,55歳から59歳,55歳から59歳,60歳から64歳,60歳から64歳,65歳から69歳,65歳から69歳,70歳から74歳,70歳から74歳,75歳から79歳,75歳から79歳,80歳から84歳,80歳から84歳,85歳から89歳,85歳から89歳,90歳から94歳,90歳から94歳,95歳から99歳,95歳から99歳,100歳以上,100歳以上,100歳以上,12歳から64歳,12歳以上,64歳以下,65歳以上,全人口,12歳未満,12～19歳,20歳代,30歳代,40歳代,50歳代,60～64歳,65～69歳,70歳代,80歳代,90歳代,100歳以上,100歳以上,100歳以上,0歳から4歳,0歳から4歳,5歳から9歳,5歳から9歳,10歳から14歳,10歳から14歳,15歳から19歳,15歳から19歳,20歳から24歳,20歳から24歳,25歳から29歳,25歳から29歳,30歳から34歳,30歳から34歳,35歳から39歳,35歳から39歳,40歳から44歳,40歳から44歳,45歳から49歳,45歳から49歳,50歳から54歳,50歳から54歳,55歳から59歳,55歳から59歳,60歳から64歳,60歳から64歳,65歳から69歳,65歳から69歳,70歳から74歳,70歳から74歳,75歳から79歳,75歳から79歳,80歳から84歳,80歳から84歳,85歳から89歳,85歳から89歳,90歳から94歳,90歳から94歳,95歳から99歳,95歳から99歳,100歳以上,100歳以上,100歳以上
30.0,300004.0,和歌山県,和歌山,Wakayama,944750,31078,31078,36680,36680,39326,39326,42366,42366,42444,42444,39572,39572,43661,43661,48913,48913,55460,55460,69068,69068,62449,62449,62754,62754,60876,60876,66761,66761,79171,79171,59348,59348,46663,46663,34495,34495,17488,17488,5073,5073,786,786,786,551164,860949,634647,309785,944432,83483,65967,82016,92574,124528,125203,60876,66761,138519,81158,22561,786,786,786,31078,31078,36680,36680,39326,39326,42366,42366,42444,42444,39572,39572,43661,43661,48913,48913,55460,55460,69068,69068,62449,62449,62754,62754,60876,60876,66761,66761,79171,79171,59348,59348,46663,46663,34495,34495,17488,17488,5073,5073,786,786,786
31.0,310000.0,鳥取県,鳥取,Tottori,556959,20849,20849,23801,23801,24617,24617,25885,25885,24243,24243,23110,23110,26547,26547,31687,31687,35322,35322,38883,38883,32556,32556,33990,33990,37030,37030,41750,41750,44253,44253,30149,30149,25448,25448,20611,20611,11689,11689,3757,3757,611,611,611,324022,502290,378520,178268,556788,54498,40654,47353,58234,74205,66546,37030,41750,74402,46059,15446,611,611,611,20849,20849,23801,23801,24617,24617,25885,25885,24243,24243,23110,23110,26547,26547,31687,31687,35322,35322,38883,38883,32556,32556,33990,33990,37030,37030,41750,41750,44253,44253,30149,30149,25448,25448,20611,20611,11689,11689,3757,3757,611,611,611
32.0,320005.0,島根県,島根,Shimane,672979,24696,24696,28449,28449,29625,29625,30762,30762,28030,28030,27443,27443,30687,30687,35627,35627,40786,40786,45168,45168,38492,38492,39682,39682,43833,43833,49628,49628,57222,57222,38585,38585,33298,33298,28917,28917,15771,15771,5248,5248,866,866,866,378286,607821,443280,229535,672815,64994,48538,55473,66314,85954,78174,43833,49628,95807,62215,21019,866,866,866,24696,24696,28449,28449,29625,29625,30762,30762,28030,28030,27443,27443,30687,30687,35627,35627,40786,40786,45168,45168,38492,38492,39682,39682,43833,43833,49628,49628,57222,57222,38585,38585,33298,33298,28917,28917,15771,15771,5248,5248,866,866,866
33.0,330001.0,岡山県,岡山,Okayama,1893874,72264,72264,81159,81159,85564,85564,89800,89800,97181,97181,91813,91813,96771,96771,107576,107576,119694,119694,143458,143458,118803,118803,109990,109990,111219,111219,120778,120778,147426,147426,109687,109687,82923,82923,63200,63200,33004,33004,9863,9863,1618,1618,1618,1137641,1706140,1325292,568499,1893791,187651,141136,188994,204347,263152,228793,111219,120778,257113,146123,42867,1618,1618,1618,72264,72264,81159,81159,85564,85564,89800,89800,97181,97181,91813,91813,96771,96771,107576,107576,119694,119694,143458,143458,118803,118803,109990,109990,111219,111219,120778,120778,147426,147426,109687,109687,82923,82923,63200,63200,33004,33004,9863,9863,1618,1618,1618
34.0,340006.0,広島県,広島,Hiroshima,2812477,106573,106573,123058,123058,128271,128271,130740,130740,140808,140808,137266,137266,145698,145698,161275,161275,182608,182608,220065,220065,185573,185573,166771,166771,161830,161830,178916,178916,217400,217400,161270,161270,118562,118562,85266,85266,44066,44066,14055,14055,2362,2362,2362,1709597,2531494,1990536,821897,2812433,280939,207703,278074,306973,402673,352344,161830,178916,378670,203828,58121,2362,2362,2362,106573,106573,123058,123058,128271,128271,130740,130740,140808,140808,137266,137266,145698,145698,161275,161275,182608,182608,220065,220065,185573,185573,166771,166771,161830,161830,178916,178916,217400,217400,161270,161270,118562,118562,85266,85266,44066,44066,14055,14055,2362,2362,2362
35.0,350001.0,山口県,山口,Yamaguchi,1356144,45341,45341,53484,53484,57859,57859,60743,60743,59583,59583,55206,55206,59994,59994,70910,70910,81329,81329,97954,97954,83680,83680,79264,79264,84983,84983,99965,99965,121178,121178,87270,87270,69297,69297,52177,52177,26205,26205,8307,8307,1381,1381,1381,768358,1234138,890330,465780,1356110,121972,95455,114789,130904,179283,162944,84983,99965,208448,121474,34512,1381,1381,1381,45341,45341,53484,53484,57859,57859,60743,60743,59583,59583,55206,55206,59994,59994,70910,70910,81329,81329,97954,97954,83680,83680,79264,79264,84983,84983,99965,99965,121178,121178,87270,87270,69297,69297,52177,52177,26205,26205,8307,8307,1381,1381,1381
36.0,360007.0,徳島県,徳島,Tokushima,735070,24493,24493,28399,28399,30062,30062,32115,32115,31857,31857,29900,29900,34359,34359,40704,40704,45598,45598,52559,52559,45571,45571,45785,45785,48740,48740,56757,56757,63608,63608,42173,42173,35103,35103,27752,27752,14579,14579,4244,4244,591,591,591,425225,670032,490142,244807,734949,64917,50152,61757,75063,98157,91356,48740,56757,105781,62855,18823,591,591,591,24493,24493,28399,28399,30062,30062,32115,32115,31857,31857,29900,29900,34359,34359,40704,40704,45598,45598,52559,52559,45571,45571,45785,45785,48740,48740,56757,56757,63608,63608,42173,42173,35103,35103,27752,27752,14579,14579,4244,4244,591,591,591
37.0,370002.0,香川県,香川,Kagawa,973922,34873,34873,40643,40643,43059,43059,45474,45474,46074,46074,43080,43080,47841,47841,54519,54519,63886,63886,74257,74257,61065,61065,57051,57051,59215,59215,66209,66209,81631,81631,54525,54525,43023,43023,33594,33594,17730,17730,5238,5238,909,909,909,578300,881159,671037,302859,973896,92737,71312,89154,102360,138143,118116,59215,66209,136156,76617,22968,909,909,909,34873,34873,40643,40643,43059,43059,45474,45474,46074,46074,43080,43080,47841,47841,54519,54519,63886,63886,74257,74257,61065,61065,57051,57051,59215,59215,66209,66209,81631,81631,54525,54525,43023,43023,33594,33594,17730,17730,5238,5238,909,909,909
38.0,380008.0,愛媛県,愛媛,Ehime,1356343,45548,45548,54397,54397,58778,58778,60956,60956,58747,58747,56509,56509,63252,63252,73539,73539,84502,84502,99091,99091,84612,84612,85066,85066,87756,87756,98978,98978,114497,114497,79441,79441,65136,65136,49358,49358,26655,26655,8121,8121,1280,1280,1280,789295,1232761,912753,443466,1356219,123458,96221,115256,136791,183593,169678,87756,98978,193938,114494,34776,1280,1280,1280,45548,45548,54397,54397,58778,58778,60956,60956,58747,58747,56509,56509,63252,63252,73539,73539,84502,84502,99091,99091,84612,84612,85066,85066,87756,87756,98978,98978,114497,114497,79441,79441,65136,65136,49358,49358,26655,26655,8121,8121,1280,1280,1280
39.0,390003.0,高知県,高知,Kochi,701531,22450,22450,25964,25964,28198,28198,30749,30749,28539,28539,26821,26821,29686,29686,36643,36643,42869,42869,50754,50754,42476,42476,43980,43980,45707,45707,52283,52283,63055,63055,44366,44366,35365,35365,28981,28981,16206,16206,5235,5235,840,840,840,395146,641477,454836,246331,701167,59690,47671,55360,66329,93623,86456,45707,52283,107421,64346,21441,840,840,840,22450,22450,25964,25964,28198,28198,30749,30749,28539,28539,26821,26821,29686,29686,36643,36643,42869,42869,50754,50754,42476,42476,43980,43980,45707,45707,52283,52283,63055,63055,44366,44366,35365,35365,28981,28981,16206,16206,5235,5235,840,840,840
40.0,400009.0,福岡県,福岡,Fukuoka,5124259,210675,210675,233901,233901,237797,237797,236281,236281,268689,268689,263806,263806,278530,278530,320178,320178,349890,349890,383491,383491,327486,327486,300844,300844,300135,300135,338062,338062,374139,374139,256601,256601,203638,203638,144118,144118,70558,70558,21859,21859,3492,3492,3492,3172003,4584470,3711703,1412467,5124170,539700,378954,532495,598708,733381,628330,300135,338062,630740,347756,92417,3492,3492,3492,210675,210675,233901,233901,237797,237797,236281,236281,268689,268689,263806,263806,278530,278530,320178,320178,349890,349890,383491,383491,327486,327486,300844,300844,300135,300135,338062,338062,374139,374139,256601,256601,203638,203638,144118,144118,70558,70558,21859,21859,3492,3492,3492
41.0,410004.0,佐賀県,佐賀,Saga,818251,32804,32804,37692,37692,39804,39804,40138,40138,38601,38601,35883,35883,39766,39766,46904,46904,51584,51584,54255,54255,48946,48946,50084,50084,54167,54167,61558,61558,61720,61720,41504,41504,35563,35563,27568,27568,14381,14381,4595,4595,705,705,705,484210,731804,570628,247594,818222,86418,64020,74484,86670,105839,99030,54167,61558,103224,63131,18976,705,705,705,32804,32804,37692,37692,39804,39804,40138,40138,38601,38601,35883,35883,39766,39766,46904,46904,51584,51584,54255,54255,48946,48946,50084,50084,54167,54167,61558,61558,61720,61720,41504,41504,35563,35563,27568,27568,14381,14381,4595,4595,705,705,705
42.0,420000.0,長崎県,長崎,Nagasaki,1336023,50083,50083,57254,57254,59953,59953,61264,61264,55027,55027,53085,53085,61254,61254,71035,71035,78482,78482,89310,89310,82524,82524,85827,85827,93323,93323,106402,106402,109096,109096,73226,73226,64746,64746,49348,49348,25290,25290,8129,8129,1280,1280,1280,767100,1204617,898421,437517,1335938,131321,97233,108112,132289,167792,168351,93323,106402,182322,114094,33419,1280,1280,1280,50083,50083,57254,57254,59953,59953,61264,61264,55027,55027,53085,53085,61254,61254,71035,71035,78482,78482,89310,89310,82524,82524,85827,85827,93323,93323,106402,106402,109096,109096,73226,73226,64746,64746,49348,49348,25290,25290,8129,8129,1280,1280,1280
43.0,430005.0,熊本県,熊本,Kumamoto,1758815,70453,70453,80043,80043,82496,82496,81086,81086,78217,78217,76682,76682,85983,85983,100441,100441,108886,108886,115674,115674,104029,104029,108876,108876,117103,117103,130574,130574,133712,133712,91983,91983,81536,81536,64062,64062,34083,34083,10939,10939,1787,1787,1787,1026476,1575152,1209969,548676,1758645,183493,130585,154899,186424,224560,212905,117103,130574,225695,145598,45022,1787,1787,1787,70453,70453,80043,80043,82496,82496,81086,81086,78217,78217,76682,76682,85983,85983,100441,100441,108886,108886,115674,115674,104029,104029,108876,108876,117103,117103,130574,130574,133712,133712,91983,91983,81536,81536,64062,64062,34083,34083,10939,10939,1787,1787,1787
44.0,440001.0,大分県,大分,Oita,1141784,40983,40983,47365,47365,50622,50622,51249,51249,51270,51270,48096,48096,53555,53555,62567,62567,71822,71822,78693,78693,68153,68153,67895,67895,74227,74227,85431,85431,94946,94946,66562,66562,55097,55097,42777,42777,22614,22614,6801,6801,1016,1016,1016,657900,1033144,766497,375244,1141741,108597,81622,99366,116122,150515,136048,74227,85431,161508,97874,29415,1016,1016,1016,40983,40983,47365,47365,50622,50622,51249,51249,51270,51270,48096,48096,53555,53555,62567,62567,71822,71822,78693,78693,68153,68153,67895,67895,74227,74227,85431,85431,94946,94946,66562,66562,55097,55097,42777,42777,22614,22614,6801,6801,1016,1016,1016
45.0,450006.0,宮崎県,宮崎,Miyazaki,1087372,42167,42167,49123,49123,51802,51802,50522,50522,44733,44733,43534,43534,49980,49980,60174,60174,67654,67654,72499,72499,63025,63025,66581,66581,74823,74823,84170,84170,88014,88014,58543,58543,51401,51401,40247,40247,20825,20825,6358,6358,1066,1066,1066,624607,975231,736617,350624,1087241,112010,81604,88267,110154,140153,129606,74823,84170,146557,91648,27183,1066,1066,1066,42167,42167,49123,49123,51802,51802,50522,50522,44733,44733,43534,43534,49980,49980,60174,60174,67654,67654,72499,72499,63025,63025,66581,66581,74823,74823,84170,84170,88014,88014,58543,58543,51401,51401,40247,40247,20825,20825,6358,6358,1066,1066,1066
46.0,460001.0,鹿児島県,鹿児島,Kagoshima,1617850,63756,63756,74054,74054,76574,76574,74200,74200,64143,64143,65320,65320,76140,76140,91952,91952,98458,98458,102543,102543,94353,94353,101639,101639,115879,115879,128892,128892,122973,122973,83714,83714,76271,76271,61238,61238,32923,32923,10772,10772,1723,1723,1723,930571,1449077,1099011,518506,1617517,168440,120144,129463,168092,201001,195992,115879,128892,206687,137509,43695,1723,1723,1723,63756,63756,74054,74054,76574,76574,74200,74200,64143,64143,65320,65320,76140,76140,91952,91952,98458,98458,102543,102543,94353,94353,101639,101639,115879,115879,128892,128892,122973,122973,83714,83714,76271,76271,61238,61238,32923,32923,10772,10772,1723,1723,1723
47.0,470007.0,沖縄県,沖縄,Okinawa,1485484,78778,78778,85509,85509,84897,84897,81256,81256,77134,77134,78465,78465,86277,86277,96243,96243,100390,100390,108997,108997,94765,94765,89179,89179,91255,91255,96207,96207,80111,80111,50196,50196,48321,48321,33849,33849,16704,16704,5365,5365,1220,1220,1220,954902,1286875,1153145,331973,1485118,198243,132197,155599,182520,209387,183944,91255,96207,130307,82170,22069,1220,1220,1220,78778,78778,85509,85509,84897,84897,81256,81256,77134,77134,78465,78465,86277,86277,96243,96243,100390,100390,108997,108997,94765,94765,89179,89179,91255,91255,96207,96207,80111,80111,50196,50196,48321,48321,33849,33849,16704,16704,5365,5365,1220,1220,1220
