code_pref,code_MIC,prefecture_j,prefecture_s,prefecture_en,総数,0歳から4歳,0歳から4歳,5歳から9歳,5歳から9歳,10歳から14歳,10歳から14歳,15歳から19歳,15歳から19歳,20歳から24歳,20歳から24歳,25歳から29歳,25歳から29歳,30歳から34歳,30歳から34歳,35歳から39歳,35歳から39歳,40歳から44歳,40歳から44歳,45歳から49歳,45歳から49歳,50歳から54歳,50歳から54歳,55歳から59歳,55歳から59歳,60歳から64歳,60歳から64歳,65歳から69歳,65歳から69歳,70歳から74歳,70歳から74歳,75歳から79歳,75歳から79歳,80歳から84歳,80歳から84歳,85歳から89歳,85歳から89歳,90歳から94歳,90歳から94歳,95歳から99歳,95歳から99歳,100歳以上,100歳以上,100歳以上,12歳から64歳,12歳以上,64歳以下,65歳以上,全人口,12歳未満,12～19歳,20歳代,30歳代,40歳代,50歳代,60～64歳,65～69歳,70歳代,80歳代,90歳代,100歳以上,100歳以上,100歳以上,0歳から4歳,0歳から4歳,5歳から9歳,5歳から9歳,10歳から14歳,10歳から14歳,15歳から19歳,15歳から19歳,20歳から24歳,20歳から24歳,25歳から29歳,25歳から29歳,30歳から34歳,30歳から34歳,35歳から39歳,35歳から39歳,40歳から44歳,40歳から44歳,45歳から49歳,45歳から49歳,50歳から54歳,50歳から54歳,55歳から59歳,55歳から59歳,60歳から64歳,60歳から64歳,65歳から69歳,65歳から69歳,70歳から74歳,70歳から74歳,75歳から79歳,75歳から79歳,80歳から84歳,80歳から84歳,85歳から89歳,85歳から89歳,90歳から94歳,90歳から94歳,95歳から99歳,95歳から99歳,100歳以上,100歳以上,100歳以上
10.0,100005.0,群馬県,群馬,Gunma,1958185,66286,66286,77332,77332,86364,86364,93666,93666,98707,98707,92967,92967,97072,97072,109723,109723,128270,128270,152385,152385,133927,133927,121865,121865,117345,117345,134746,134746,154478,154478,111474,111474,83200,83200,58022,58022,30196,30196,8744,8744,1332,1332,1332,1197743,1779935,1375909,582192,1958101,178166,145482,191674,206795,280655,255792,117345,134746,265952,141222,38940,1332,1332,1332,66286,66286,77332,77332,86364,86364,93666,93666,98707,98707,92967,92967,97072,97072,109723,109723,128270,128270,152385,152385,133927,133927,121865,121865,117345,117345,134746,134746,154478,154478,111474,111474,83200,83200,58022,58022,30196,30196,8744,8744,1332,1332,1332
11.0,110001.0,埼玉県,埼玉,Saitama,7393849,268665,268665,302458,302458,319212,319212,332100,332100,388355,388355,396488,396488,409063,409063,457649,457649,516654,516654,623303,623303,549834,549834,466542,466542,403774,403774,447991,447991,538285,538285,416168,416168,296553,296553,169822,169822,69119,69119,18835,18835,2929,2929,2929,4735292,6694994,5434097,1959702,7393799,698805,523630,784843,866712,1139957,1016376,403774,447991,954453,466375,87954,2929,2929,2929,268665,268665,302458,302458,319212,319212,332100,332100,388355,388355,396488,396488,409063,409063,457649,457649,516654,516654,623303,623303,549834,549834,466542,466542,403774,403774,447991,447991,538285,538285,416168,416168,296553,296553,169822,169822,69119,69119,18835,18835,2929,2929,2929
12.0,120006.0,千葉県,千葉,Chiba,6322897,225871,225871,254305,254305,270050,270050,282950,282950,331540,331540,334320,334320,346450,346450,389501,389501,434714,434714,522268,522268,464298,464298,396073,396073,348751,348751,388704,388704,467326,467326,358758,358758,259462,259462,157701,157701,68239,68239,18739,18739,2872,2872,2872,4012899,5734700,4601091,1721801,6322892,588192,444984,665860,735951,956982,860371,348751,388704,826084,417163,86978,2872,2872,2872,225871,225871,254305,254305,270050,270050,282950,282950,331540,331540,334320,334320,346450,346450,389501,389501,434714,434714,522268,522268,464298,464298,396073,396073,348751,348751,388704,388704,467326,467326,358758,358758,259462,259462,157701,157701,68239,68239,18739,18739,2872,2872,2872
13.0,130001.0,東京都,東京,Tokyo,13843525,528572,528572,543911,543911,528135,528135,535273,535273,785532,785532,948600,948600,943139,943139,1003665,1003665,1056837,1056837,1173785,1173785,1061006,1061006,895835,895835,700504,700504,679769,679769,807883,807883,627315,627315,489134,489134,335981,335981,149458,149458,42354,42354,6641,6641,6641,9421058,12559593,10704794,3138535,13843329,1283736,852155,1734132,1946804,2230622,1956841,700504,679769,1435198,825115,191812,6641,6641,6641,528572,528572,543911,543911,528135,528135,535273,535273,785532,785532,948600,948600,943139,943139,1003665,1003665,1056837,1056837,1173785,1173785,1061006,1061006,895835,895835,700504,700504,679769,679769,807883,807883,627315,627315,489134,489134,335981,335981,149458,149458,42354,42354,6641,6641,6641
14.0,140007.0,神奈川県,神奈川,Kanagawa,9220245,337183,337183,376326,376326,394394,394394,409498,409498,493086,493086,508250,508250,513330,513330,577692,577692,655206,655206,785881,785881,730881,730881,615918,615918,495275,495275,510479,510479,615860,615860,482916,482916,359437,359437,227378,227378,98983,98983,27918,27918,4315,4315,4315,6021651,8348937,6892920,2327286,9220206,871269,646132,1001336,1091022,1441087,1346799,495275,510479,1098776,586815,126901,4315,4315,4315,337183,337183,376326,376326,394394,394394,409498,409498,493086,493086,508250,508250,513330,513330,577692,577692,655206,655206,785881,785881,730881,730881,615918,615918,495275,495275,510479,510479,615860,615860,482916,482916,359437,359437,227378,227378,98983,98983,27918,27918,4315,4315,4315
15.0,150002.0,新潟県,新潟,Niigata,2213353,71859,71859,85556,85556,92893,92893,98150,98150,95914,95914,93199,93199,104982,104982,121828,121828,142232,142232,158159,158159,142267,142267,140183,140183,145694,145694,167548,167548,180761,180761,125070,125070,107096,107096,81199,81199,43282,43282,13234,13234,2068,2068,2068,1298343,2018601,1492916,720258,2213174,194573,153885,189113,226810,300391,282450,145694,167548,305831,188295,56516,2068,2068,2068,71859,71859,85556,85556,92893,92893,98150,98150,95914,95914,93199,93199,104982,104982,121828,121828,142232,142232,158159,158159,142267,142267,140183,140183,145694,145694,167548,167548,180761,180761,125070,125070,107096,107096,81199,81199,43282,43282,13234,13234,2068,2068,2068
16.0,160008.0,富山県,富山,Toyama,1047713,34812,34812,39435,39435,43782,43782,47918,47918,49441,49441,46561,46561,48843,48843,55805,55805,66847,66847,82827,82827,69286,69286,63643,63643,62072,62072,71089,71089,90539,90539,64403,64403,48266,48266,36512,36512,18855,18855,5865,5865,873,873,873,619512,955914,711272,336402,1047674,91760,74187,96002,104648,149674,132929,62072,71089,154942,84778,24720,873,873,873,34812,34812,39435,39435,43782,43782,47918,47918,49441,49441,46561,46561,48843,48843,55805,55805,66847,66847,82827,82827,69286,69286,63643,63643,62072,62072,71089,71089,90539,90539,64403,64403,48266,48266,36512,36512,18855,18855,5865,5865,873,873,873
17.0,170003.0,石川県,石川,Ishikawa,1132656,41694,41694,47264,47264,50377,50377,54689,54689,58858,58858,52990,52990,55807,55807,62477,62477,73832,73832,89283,89283,74450,74450,68699,68699,66885,66885,73258,73258,92524,92524,64254,64254,46405,46405,34449,34449,18028,18028,5518,5518,915,915,915,688199,1023550,797305,335351,1132656,109106,84918,111848,118284,163115,143149,66885,73258,156778,80854,23546,915,915,915,41694,41694,47264,47264,50377,50377,54689,54689,58858,58858,52990,52990,55807,55807,62477,62477,73832,73832,89283,89283,74450,74450,68699,68699,66885,66885,73258,73258,92524,92524,64254,64254,46405,46405,34449,34449,18028,18028,5518,5518,915,915,915
18.0,180009.0,福井県,福井,Fukui,774596,28663,28663,32507,32507,35784,35784,37224,37224,37369,37369,36012,36012,38816,38816,42807,42807,48880,48880,56218,56218,48691,48691,48889,48889,48680,48680,53269,53269,60102,60102,42521,42521,33227,33227,26256,26256,13840,13840,4206,4206,622,622,622,465056,699099,540540,234043,774583,75484,58694,73381,81623,105098,97580,48680,53269,102623,59483,18046,622,622,622,28663,28663,32507,32507,35784,35784,37224,37224,37369,37369,36012,36012,38816,38816,42807,42807,48880,48880,56218,56218,48691,48691,48889,48889,48680,48680,53269,53269,60102,60102,42521,42521,33227,33227,26256,26256,13840,13840,4206,4206,622,622,622
19.0,190004.0,山梨県,山梨,Yamanashi,821094,28051,28051,31753,31753,34813,34813,39253,39253,40409,40409,37064,37064,38749,38749,43838,43838,50090,50090,60038,60038,57418,57418,55206,55206,52919,52919,57582,57582,62897,62897,46588,46588,36957,36957,26886,26886,14820,14820,4877,4877,789,789,789,495869,747265,569601,251396,820997,73732,60138,77473,82587,110128,112624,52919,57582,109485,63843,19697,789,789,789,28051,28051,31753,31753,34813,34813,39253,39253,40409,40409,37064,37064,38749,38749,43838,43838,50090,50090,60038,60038,57418,57418,55206,55206,52919,52919,57582,57582,62897,62897,46588,46588,36957,36957,26886,26886,14820,14820,4877,4877,789,789,789
