,code_pref,code_MIC,type,prefecture_j,prefecture_s,prefecture_en,prefecture_kana,cities,cities_kana,vaccine_pop,政令指定都市
71,,12238.0,市区町村,北海道,,,ホッカイドウ,根室市,ネムロシ,True,False
72,,12246.0,市区町村,北海道,,,ホッカイドウ,千歳市,チトセシ,True,False
73,,12254.0,市区町村,北海道,,,ホッカイドウ,滝川市,タキカワシ,True,False
74,,12262.0,市区町村,北海道,,,ホッカイドウ,砂川市,スナガワシ,True,False
75,,12271.0,市区町村,北海道,,,ホッカイドウ,歌志内市,ウタシナイシ,True,False
76,,12289.0,市区町村,北海道,,,ホッカイドウ,深川市,フカガワシ,True,False
77,,12297.0,市区町村,北海道,,,ホッカイドウ,富良野市,フラノシ,True,False
78,,12301.0,市区町村,北海道,,,ホッカイドウ,登別市,ノボリベツシ,True,False
79,,12319.0,市区町村,北海道,,,ホッカイドウ,恵庭市,エニワシ,True,False
80,,12335.0,市区町村,北海道,,,ホッカイドウ,伊達市,ダテシ,True,False
81,,12343.0,市区町村,北海道,,,ホッカイドウ,北広島市,キタヒロシマシ,True,False
82,,12351.0,市区町村,北海道,,,ホッカイドウ,石狩市,イシカリシ,True,False
83,,12360.0,市区町村,北海道,,,ホッカイドウ,北斗市,ホクトシ,True,False
84,,13030.0,市区町村,北海道,,,ホッカイドウ,当別町,トウベツチョウ,True,False
85,,13048.0,市区町村,北海道,,,ホッカイドウ,新篠津村,シンシノツムラ,True,False
86,,13315.0,市区町村,北海道,,,ホッカイドウ,松前町,マツマエチョウ,True,False
87,,13323.0,市区町村,北海道,,,ホッカイドウ,福島町,フクシマチョウ,True,False
88,,13331.0,市区町村,北海道,,,ホッカイドウ,知内町,シリウチチョウ,True,False
89,,13340.0,市区町村,北海道,,,ホッカイドウ,木古内町,キコナイチョウ,True,False
90,,13374.0,市区町村,北海道,,,ホッカイドウ,七飯町,ナナエチョウ,True,False
91,,13439.0,市区町村,北海道,,,ホッカイドウ,鹿部町,シカベチョウ,True,False
92,,13455.0,市区町村,北海道,,,ホッカイドウ,森町,モリマチ,True,False
93,,13463.0,市区町村,北海道,,,ホッカイドウ,八雲町,ヤクモチョウ,True,False
94,,13471.0,市区町村,北海道,,,ホッカイドウ,長万部町,オシャマンベチョウ,True,False
95,,13617.0,市区町村,北海道,,,ホッカイドウ,江差町,エサシチョウ,True,False
96,,13625.0,市区町村,北海道,,,ホッカイドウ,上ノ国町,カミノクニチョウ,True,False
97,,13633.0,市区町村,北海道,,,ホッカイドウ,厚沢部町,アッサブチョウ,True,False
98,,13641.0,市区町村,北海道,,,ホッカイドウ,乙部町,オトベチョウ,True,False
99,,13676.0,市区町村,北海道,,,ホッカイドウ,奥尻町,オクシリチョウ,True,False
100,,13706.0,市区町村,北海道,,,ホッカイドウ,今金町,イマカネチョウ,True,False
101,,13714.0,市区町村,北海道,,,ホッカイドウ,せたな町,セタナチョウ,True,False
102,,13919.0,市区町村,北海道,,,ホッカイドウ,島牧村,シママキムラ,True,False
103,,13927.0,市区町村,北海道,,,ホッカイドウ,寿都町,スッツチョウ,True,False
104,,13935.0,市区町村,北海道,,,ホッカイドウ,黒松内町,クロマツナイチョウ,True,False
105,,13943.0,市区町村,北海道,,,ホッカイドウ,蘭越町,ランコシチョウ,True,False
106,,13951.0,市区町村,北海道,,,ホッカイドウ,ニセコ町,ニセコチョウ,True,False
107,,13960.0,市区町村,北海道,,,ホッカイドウ,真狩村,マッカリムラ,True,False
108,,13978.0,市区町村,北海道,,,ホッカイドウ,留寿都村,ルスツムラ,True,False
109,,13986.0,市区町村,北海道,,,ホッカイドウ,喜茂別町,キモベツチョウ,True,False
110,,13994.0,市区町村,北海道,,,ホッカイドウ,京極町,キョウゴクチョウ,True,False
111,,14001.0,市区町村,北海道,,,ホッカイドウ,倶知安町,クッチャンチョウ,True,False
112,,14010.0,市区町村,北海道,,,ホッカイドウ,共和町,キョウワチョウ,True,False
113,,14028.0,市区町村,北海道,,,ホッカイドウ,岩内町,イワナイチョウ,True,False
114,,14036.0,市区町村,北海道,,,ホッカイドウ,泊村,トマリムラ,True,False
115,,14044.0,市区町村,北海道,,,ホッカイドウ,神恵内村,カモエナイムラ,True,False
116,,14052.0,市区町村,北海道,,,ホッカイドウ,積丹町,シャコタンチョウ,True,False
117,,14061.0,市区町村,北海道,,,ホッカイドウ,古平町,フルビラチョウ,True,False
118,,14079.0,市区町村,北海道,,,ホッカイドウ,仁木町,ニキチョウ,True,False
119,,14087.0,市区町村,北海道,,,ホッカイドウ,余市町,ヨイチチョウ,True,False
120,,14095.0,市区町村,北海道,,,ホッカイドウ,赤井川村,アカイガワムラ,True,False
121,,14231.0,市区町村,北海道,,,ホッカイドウ,南幌町,ナンポロチョウ,True,False
122,,14249.0,市区町村,北海道,,,ホッカイドウ,奈井江町,ナイエチョウ,True,False
123,,14257.0,市区町村,北海道,,,ホッカイドウ,上砂川町,カミスナガワチョウ,True,False
124,,14273.0,市区町村,北海道,,,ホッカイドウ,由仁町,ユニチョウ,True,False
125,,14281.0,市区町村,北海道,,,ホッカイドウ,長沼町,ナガヌマチョウ,True,False
126,,14290.0,市区町村,北海道,,,ホッカイドウ,栗山町,クリヤマチョウ,True,False
127,,14303.0,市区町村,北海道,,,ホッカイドウ,月形町,ツキガタチョウ,True,False
128,,14311.0,市区町村,北海道,,,ホッカイドウ,浦臼町,ウラウスチョウ,True,False
129,,14320.0,市区町村,北海道,,,ホッカイドウ,新十津川町,シントツカワチョウ,True,False
130,,14338.0,市区町村,北海道,,,ホッカイドウ,妹背牛町,モセウシチョウ,True,False
131,,14346.0,市区町村,北海道,,,ホッカイドウ,秩父別町,チップベツチョウ,True,False
132,,14362.0,市区町村,北海道,,,ホッカイドウ,雨竜町,ウリュウチョウ,True,False
133,,14371.0,市区町村,北海道,,,ホッカイドウ,北竜町,ホクリュウチョウ,True,False
134,,14389.0,市区町村,北海道,,,ホッカイドウ,沼田町,ヌマタチョウ,True,False
135,,14524.0,市区町村,北海道,,,ホッカイドウ,鷹栖町,タカスチョウ,True,False
136,,14532.0,市区町村,北海道,,,ホッカイドウ,東神楽町,ヒガシカグラチョウ,True,False
137,,14541.0,市区町村,北海道,,,ホッカイドウ,当麻町,トウマチョウ,True,False
138,,14559.0,市区町村,北海道,,,ホッカイドウ,比布町,ピップチョウ,True,False
139,,14567.0,市区町村,北海道,,,ホッカイドウ,愛別町,アイベツチョウ,True,False
140,,14575.0,市区町村,北海道,,,ホッカイドウ,上川町,カミカワチョウ,True,False
141,,14583.0,市区町村,北海道,,,ホッカイドウ,東川町,ヒガシカワチョウ,True,False
142,,14591.0,市区町村,北海道,,,ホッカイドウ,美瑛町,ビエイチョウ,True,False
143,,14605.0,市区町村,北海道,,,ホッカイドウ,上富良野町,カミフラノチョウ,True,False
144,,14613.0,市区町村,北海道,,,ホッカイドウ,中富良野町,ナカフラノチョウ,True,False
145,,14621.0,市区町村,北海道,,,ホッカイドウ,南富良野町,ミナミフラノチョウ,True,False
146,,14630.0,市区町村,北海道,,,ホッカイドウ,占冠村,シムカップムラ,True,False
147,,14648.0,市区町村,北海道,,,ホッカイドウ,和寒町,ワッサムチョウ,True,False
148,,14656.0,市区町村,北海道,,,ホッカイドウ,剣淵町,ケンブチチョウ,True,False
149,,14681.0,市区町村,北海道,,,ホッカイドウ,下川町,シモカワチョウ,True,False
150,,14699.0,市区町村,北海道,,,ホッカイドウ,美深町,ビフカチョウ,True,False
151,,14702.0,市区町村,北海道,,,ホッカイドウ,音威子府村,オトイネップムラ,True,False
152,,14711.0,市区町村,北海道,,,ホッカイドウ,中川町,ナカガワチョウ,True,False
153,,14729.0,市区町村,北海道,,,ホッカイドウ,幌加内町,ホロカナイチョウ,True,False
154,,14818.0,市区町村,北海道,,,ホッカイドウ,増毛町,マシケチョウ,True,False
155,,14826.0,市区町村,北海道,,,ホッカイドウ,小平町,オビラチョウ,True,False
156,,14834.0,市区町村,北海道,,,ホッカイドウ,苫前町,トママエチョウ,True,False
157,,14842.0,市区町村,北海道,,,ホッカイドウ,羽幌町,ハボロチョウ,True,False
158,,14851.0,市区町村,北海道,,,ホッカイドウ,初山別村,ショサンベツムラ,True,False
159,,14869.0,市区町村,北海道,,,ホッカイドウ,遠別町,エンベツチョウ,True,False
160,,14877.0,市区町村,北海道,,,ホッカイドウ,天塩町,テシオチョウ,True,False
161,,15113.0,市区町村,北海道,,,ホッカイドウ,猿払村,サルフツムラ,True,False
162,,15121.0,市区町村,北海道,,,ホッカイドウ,浜頓別町,ハマトンベツチョウ,True,False
163,,15130.0,市区町村,北海道,,,ホッカイドウ,中頓別町,ナカトンベツチョウ,True,False
164,,15148.0,市区町村,北海道,,,ホッカイドウ,枝幸町,エサシチョウ,True,False
165,,15164.0,市区町村,北海道,,,ホッカイドウ,豊富町,トヨトミチョウ,True,False
166,,15172.0,市区町村,北海道,,,ホッカイドウ,礼文町,レブンチョウ,True,False
167,,15181.0,市区町村,北海道,,,ホッカイドウ,利尻町,リシリチョウ,True,False
168,,15199.0,市区町村,北海道,,,ホッカイドウ,利尻富士町,リシリフジチョウ,True,False
169,,15202.0,市区町村,北海道,,,ホッカイドウ,幌延町,ホロノベチョウ,True,False
170,,15431.0,市区町村,北海道,,,ホッカイドウ,美幌町,ビホロチョウ,True,False
171,,15440.0,市区町村,北海道,,,ホッカイドウ,津別町,ツベツチョウ,True,False
